[2024-05-01T08:59:19.505] [DEBUG] default - [GET] /info/list
[2024-05-01T08:59:19.732] [DEBUG] default - [GET] /info/list
[2024-05-01T08:59:19.911] [DEBUG] default - [GET] /info/list
[2024-05-01T08:59:20.114] [DEBUG] default - [GET] /info/list
[2024-05-01T08:59:20.316] [DEBUG] default - [GET] /info/list
[2024-05-01T08:59:20.517] [DEBUG] default - [GET] /info/list
[2024-05-01T08:59:47.658] [DEBUG] default - [GET] /info/list
[2024-05-01T08:59:47.836] [DEBUG] default - [GET] /info/list
[2024-05-01T08:59:48.040] [DEBUG] default - [GET] /info/list
[2024-05-01T08:59:48.252] [DEBUG] default - [GET] /info/list
[2024-05-01T08:59:48.483] [DEBUG] default - [GET] /info/list
